  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle       E1+E2           E1   history_number
    1.76    2.62   -0.05    0.20   -0.16    0.12  -0.60294193   0.66859500   0.45273100           48
    6.30    1.52   -0.90    0.88    0.58    1.27   0.48458970   0.64450200   0.25391000           69
    5.75    1.99   -0.07   -0.91    0.00   -0.75   0.49646542   0.51429900   0.17297700           86
    4.51    4.26    0.82    0.02    0.19   -0.04   0.97185793   0.65476800   0.02278900           95
    2.84    4.49    1.03   -0.18   -0.28   -0.15  -0.68093261   0.65466200   0.44706400          100
    3.40    3.81    0.56   -0.70   -0.53   -0.74  -0.01070454   0.65932000   0.37316500          122
    1.54    3.17   -0.58   -0.14   -0.34   -0.04  -0.89419549   0.64526100   0.45502400          176
    4.15    2.07    0.29   -0.88    1.02   -0.98   0.61721198   0.68369400   0.23156100          178
    3.42    2.48   -1.00   -0.31   -0.39   -0.27  -0.67281773   0.64552600   0.43817500          230
    3.75    1.40    0.16   -1.40    2.66   -0.64   0.84808766   0.66310800   0.10919400          235
    1.05    2.42    1.33    0.15   -0.38   -0.30  -0.89523255   0.60456000   0.41809600          339
    2.42    2.08    1.26    0.04    0.37    0.43   0.66602805   0.64007200   0.18878600          342
    5.95    1.91   -1.28   -0.02    0.28   -0.07   0.95007315   0.64308800   0.03801800          346
    2.82    2.35   -0.81    1.70    2.96   -0.02  -0.60114968   0.24750400   0.10810600          363
    5.47    4.61   -0.03    0.46   -0.02   -0.88  -0.70050501   0.66823600   0.46095100          403
    5.67    1.50   -0.83   -0.90    0.16    0.27  -0.04351533   0.65865900   0.37778700          464
    4.01    1.94    1.24    1.01   -0.07   -0.18  -0.81061066   0.60767900   0.41495900          575
    2.11    1.40    0.81    0.28    0.85    0.62  -0.17575908   0.63938000   0.38064200          589
    5.00    1.49    1.11   -0.50    2.51    0.45   0.90038909   0.49384400   0.04336600          606
    1.13    2.61    0.55   -1.09    0.15    0.86   0.46281461   0.62768300   0.24952600          674
    5.48    2.12   -0.89   -0.07    0.78    0.12  -0.04267969   0.16792100   0.04285300          691
    7.00    1.42   -1.28   -0.76    0.35   -0.16   0.14942209   0.64959900   0.33748400          722
    4.07    2.35   -1.43    0.12    0.45    0.72   0.20511109   0.63983400   0.31916300          753
    3.79    2.68    1.48    0.04   -0.29   -0.60  -0.58216999   0.69668500   0.47601200          763
    4.88    2.29    0.26   -0.44    0.39   -0.37   0.51365010   0.66999100   0.26087900          862
    4.01    2.07    0.43   -0.57    0.04   -0.46   0.01706341   0.67621300   0.38230100          889
    7.80    2.31   -0.57    0.01    0.68    0.19   0.90663562   0.66544400   0.07213600          920
    4.99    1.76    1.31   -0.75    0.00   -0.39   0.47551425   0.48225400   0.15967200          945
    4.77    1.90    0.17   -0.18    0.66   -0.83   0.55273897   0.66053300   0.24198200          954
    2.32    1.44   -0.35   -0.64    0.30    0.11  -0.67003660   0.59763200   0.39526200          972
    4.96    5.43    1.49   -0.11   -0.40    0.25  -0.73281432   0.64320300   0.44100900          986
    2.55    2.68   -1.01    0.20    0.42   -0.27   0.62846713   0.68764200   0.22920300         1019
    0.72    1.57    0.32    0.23   -0.19    0.15  -0.68075036   0.67606600   0.46634700         1020
    0.33    3.33   -0.60   -0.07    0.17    0.09   0.89055406   0.66234700   0.08228800         1042
    6.78    1.75    1.69    0.58   -0.27   -0.15  -0.18983919   0.68257300   0.41896400         1044
    1.38    3.26    0.49   -0.46   -0.93    0.86  -0.52959459   0.67661000   0.45296100         1050
    6.21    2.31   -1.69   -0.41    2.29    0.06   0.35055082   0.15484400   0.02546200         1071
    5.68    2.17    0.89   -0.33   -0.09    0.00  -0.36315334   0.68129600   0.43948200         1078
    3.18    2.82    1.17   -0.04    0.28   -0.42  -0.37135720   0.49151900   0.27957300         1086
    5.66    2.09    0.65   -0.39    0.36   -1.62   0.22575682   0.65272100   0.32455100         1093
    7.74    1.96    1.69   -0.72   -0.03   -0.26  -0.29229641   0.68497500   0.43427700         1114
    7.62    1.92   -0.14   -0.06    0.44    0.19   0.49996596   0.14979500   0.01915000         1143
    4.78    2.72    0.00    0.44   -0.42   -0.12  -0.35719955   0.65938800   0.41972500         1154
    3.08    3.36    0.78    0.33   -0.71   -0.81  -0.66865768   0.65544600   0.44672800         1224
    6.04    4.04   -0.07    0.50    0.63    0.69   0.67398767   0.66849600   0.19986700         1227
    7.08    2.18    0.71    0.00   -0.08    0.05  -0.59118966   0.68467600   0.46606900         1269
    4.77    2.17   -1.29    0.00   -0.03    0.02  -0.83422462   0.67282300   0.47580800         1282
    2.09    1.37   -0.90    1.04    0.15   -0.27   0.00705351   0.66133100   0.37191600         1283
    0.23    1.90   -1.03    0.01    0.79    0.96  -0.27902739   0.41832600   0.21397200         1310
    6.62    1.87   -0.02   -0.45    0.36   -0.16   0.43862345   0.66582700   0.28128200         1330
    3.68    1.64    0.18    0.21    0.95    0.97  -0.63641019   0.35670700   0.19020100         1362
    6.17    2.67   -1.71    0.30    0.51    0.21   0.44405263   0.41369400   0.12840400         1365
    3.37    1.81   -1.68   -0.63   -0.25    0.35  -0.45747007   0.67814900   0.44703100         1412
    5.34    2.00    0.62    0.27    0.25    1.00   0.48017744   0.59453500   0.22406200         1510
    5.39    1.33   -0.87    0.24    0.50    1.75   0.76141676   0.26161000   0.02847600         1552
    2.96    3.67    1.31   -1.97    0.06   -0.27   0.10050960   0.65941800   0.35423700         1648
    6.54    1.64    0.57   -2.12    3.60   -1.90   0.56009495   0.67158100   0.24603000         1655
    3.12    2.74   -1.40    0.04    1.90    0.17   0.97900944   0.67994300   0.01847500         1663
    2.96    4.08   -0.15    0.80    0.02    1.45  -0.33147147   0.66339100   0.42026100         1669
    3.24    2.55   -0.89   -0.37   -0.55    1.03  -0.62501103   0.63542900   0.42507100         1703
    5.43    1.32   -1.53   -0.25    1.91    0.13   0.94548221   0.66625800   0.04421600         1722
    3.42    1.96    0.66    0.21    0.35    0.65   0.50047234   0.66360400   0.26110400         1727
    0.27    1.69   -0.33    0.68    3.12   -0.89   0.85700164   0.64902700   0.09976000         1790
    6.34    4.49    0.03   -0.71    0.78    1.70   0.32283413   0.65581700   0.30493900         1802
    4.80    3.07   -1.65   -0.05   -0.09   -0.05  -0.75539373   0.64074200   0.44057800         1807
    7.15    2.40   -0.81    0.36   -0.46   -0.65  -0.26498760   0.62198000   0.37707900         1809
    0.89    2.86    1.45   -0.58    0.44    0.17   0.77063734   0.64438900   0.14456600         1841
    1.50    2.88    0.14   -0.12    0.54    0.39   0.79355467   0.65056600   0.13540100         1852
    5.89    2.28   -0.17   -0.69   -0.04   -0.06  -0.19629553   0.67532500   0.41367200         1867
    1.77    1.75    0.74   -0.55   -0.24   -0.36  -0.20120786   0.56821700   0.32494300         1868
    4.56    1.32   -1.00    0.39    0.82    0.94   0.59491478   0.63388300   0.21199700         1888
    1.92    2.56   -1.16   -0.09    1.60    0.80   0.84375503   0.66151200   0.11129100         1927
    5.74    2.85    1.46   -0.29   -0.41   -0.53  -0.62141432   0.67363300   0.45892600         1935
    1.97    2.60    1.60    0.16   -0.07   -0.02  -0.73333937   0.59283100   0.39593700         1956
    0.82    2.70    1.20   -0.64   -0.28    0.15  -0.18729018   0.67556200   0.41266100         1966
    6.78    2.25   -0.11    0.15   -0.10   -0.06  -0.30812657   0.65536500   0.41061500         1973
    5.09    1.48   -1.72   -0.75    1.01    1.27   0.41587645   0.65192800   0.27837700         1979
    1.04    1.47   -0.35   -0.45    0.14   -0.07   0.51108913   0.65296200   0.25107400         2028
    3.64    2.50   -1.09   -0.29    0.29   -0.08   0.75106402   0.67104700   0.16532300         2048
    0.02    4.80    0.65    0.38    0.62    0.23   0.67340865   0.66451400   0.19809200         2049
    3.48    1.89    0.39    0.13    0.37    0.00   0.92700993   0.65402800   0.05587900         2050
    4.23    1.47   -0.17    1.89    0.32   -0.48   0.20359164   0.66957700   0.34192400         2097
    6.91    1.40   -0.43    0.99    2.90   -1.02   0.95444490   0.65125300   0.03573600         2115
    2.05    2.23   -0.13    0.02    0.36    0.30   0.22603902   0.66029200   0.33015900         2137
    3.48    3.44    0.67   -0.68   -0.63    0.94  -0.47799590   0.70479200   0.47283900         2212
    6.68    1.66   -1.36   -0.17    0.86    0.72   0.60774749   0.64892100   0.21576500         2228
    0.77    3.84   -1.37    0.31   -0.31   -0.13  -0.72078258   0.66062800   0.45576000         2234
    4.48    2.84   -1.61   -1.13   -0.17    0.04  -0.34115866   0.65452900   0.41370400         2274
    6.49    4.55   -0.41   -1.24    0.59    1.43  -0.03767184   0.65431500   0.37333600         2520
    6.86    1.58    0.68   -0.97    0.64    0.67   0.22723583   0.58542300   0.27490500         2568
    2.30    1.63    0.43   -1.44    2.12   -2.01   0.73029770   0.65753800   0.16940400         2577
    5.32    1.42    0.33   -0.74    0.03    0.05  -0.05223212   0.68494600   0.40078500         2616
    0.85    1.30   -0.38   -0.33    0.03    0.03  -0.99169669   0.57319300   0.39595900         2693
    5.19    3.22   -0.69    0.00    0.38   -0.01   0.72973430   0.64029100   0.16197900         2707
    3.49    1.55   -0.13    1.81    1.03    0.24   0.46640480   0.67839900   0.28130200         2846
    6.87    4.98    0.03    0.52    0.38    0.19  -0.34916225   0.36238400   0.17719000         2870
    2.14    1.34    0.66   -0.95    0.35    1.02   0.33918540   0.66648300   0.30852100         2877
    5.58    1.89    0.60   -0.32    0.73   -0.24   0.93321779   0.42593000   0.02245900         2908
    6.61    1.72    1.59    0.69    3.29   -0.12   0.00619996   0.08343700   0.01164900         2917
    5.02    4.87   -1.35   -0.15    0.44    0.19   0.75144277   0.65140100   0.15673500         2918
    0.87    2.19   -1.21   -0.47    1.55    2.19   0.42692781   0.63945100   0.26705500         2930
    1.88    1.77    0.32   -0.39   -0.41   -0.22  -0.58752321   0.65215800   0.43664400         2955
    3.44    4.60   -0.84   -0.11    0.24    0.00   0.35498635   0.25815700   0.06344800         3004
    3.63    2.36    1.46    0.12    1.40   -0.45   0.61408681   0.34878800   0.07271900         3093
    2.60    4.10    1.20    0.39   -0.27    0.17  -0.66437674   0.65604000   0.44689600         3114
    3.89    3.56   -0.40   -0.43    0.54    1.01   0.58875225   0.46294600   0.12566300         3223
    7.81    1.75    1.21    0.04   -0.07   -0.04  -0.59658610   0.68980200   0.47118100         3229
    6.62    2.56   -0.56   -0.24    1.03    0.16   0.88235555   0.46606200   0.04516200         3258
    6.98    2.57   -1.22   -1.68    2.03    0.87   0.80791743   0.57862100   0.10336800         3285
    4.41    2.90   -0.86    0.33   -0.43   -0.45  -0.67021491   0.63280400   0.42656700         3291
    4.23    3.52    0.88   -0.09    0.98    0.57   0.88638490   0.66299500   0.08517600         3370
    1.78    5.15    0.11    0.51   -0.56   -0.09  -0.27670867   0.36153900   0.17158400         3416
    7.55    1.95    0.43   -0.29   -0.26    0.70  -0.35984376   0.65207800   0.41368200         3432
    0.79    2.85    0.01    0.60    1.78    1.16   0.37041954   0.47343200   0.17441500         3439
    5.28    2.16    0.01    0.03   -0.03   -0.03  -0.42361728   0.65257700   0.42100600         3490
    1.19    1.84   -0.09    0.11   -0.25   -0.05  -0.79939439   0.67852500   0.47832900         3515
    2.21    3.39    0.53   -0.72    1.94    1.02   0.88234914   0.63502700   0.08100200         3555
    2.40    1.48   -0.06   -1.25    0.59   -0.23   0.53798330   0.66479400   0.24957500         3572
    4.60    4.61   -1.10   -0.43    0.89    0.45   0.37677485   0.45624800   0.16311400         3590
    0.62    3.00   -0.19    0.48    0.02   -1.34  -0.21943974   0.63390100   0.38162500         3622
    5.86    1.55   -0.33    0.04    0.44   -0.10  -0.80138376   0.65278100   0.45504000         3624
    6.51    2.56   -0.33   -0.42    0.30   -0.09   0.46096863   0.65991100   0.27083800         3668
    3.94    1.76    1.44   -1.39    1.63   -0.57   0.68365450   0.66225100   0.19256300         3688
    0.43    4.16   -0.47    1.34   -0.50   -1.23  -0.50148451   0.63022900   0.40923700         3727
    0.41    4.52    0.07    0.17   -0.33    0.35  -0.62402722   0.66666300   0.45290300         3863
    4.64    3.95    1.68   -0.02   -0.11   -0.24  -0.35109009   0.66452600   0.42349500         3903
    6.30    2.44    0.81    1.67    0.95   -0.73   0.62006911   0.64516800   0.20915100         3951
    3.14    1.83    1.28    0.95   -0.03   -0.66  -0.16468559   0.66263600   0.39866900         3997
    0.93    3.05    1.28   -0.23   -0.37    0.11  -0.89169197   0.66278700   0.47087500         4082
