  apex.x  apex.y  apex.z  axis.x  axis.y  axis.z  cosHalfAngle       E1+E2           E1   history_number
    3.31    3.82   -0.28   -0.40   -0.41    0.29   0.29391913   0.29186600   0.08387900           54
    2.13    3.60   -0.78   -0.27    0.35   -0.02   0.56873624   0.30164700   0.06121000          109
    5.39    2.66    1.75    1.18    1.49   -0.11   0.76870690   0.62826700   0.13910400          164
    4.15    2.07    0.29   -0.88    1.02   -0.98   0.61721198   0.68369400   0.23156100          178
    3.42    2.48   -1.00   -0.31   -0.39   -0.27  -0.67281773   0.64552600   0.43817500          230
    3.75    1.40    0.16   -1.40    2.66   -0.64   0.84808766   0.66310800   0.10919400          235
    0.93    2.91    1.72   -0.27    0.42   -0.60   0.55877153   0.45025000   0.12604300          318
    1.77    1.41   -0.38    0.32    0.78    0.01   0.68751469   0.46801100   0.10413900          320
    2.42    2.08    1.26    0.04    0.37    0.43   0.66602805   0.64007200   0.18878600          342
    2.82    4.66    1.06    0.57    0.31    0.44  -0.58009431   0.33617300   0.17134200          411
    2.11    1.40    0.81    0.28    0.85    0.62  -0.17575908   0.63938000   0.38064200          589
    7.00    1.42   -1.28   -0.76    0.35   -0.16   0.14942209   0.64959900   0.33748400          722
    4.88    2.29    0.26   -0.44    0.39   -0.37   0.51365010   0.66999100   0.26087900          862
    2.55    2.68   -1.01    0.20    0.42   -0.27   0.62846713   0.68764200   0.22920300         1019
    3.18    2.82    1.17   -0.04    0.28   -0.42  -0.37135720   0.49151900   0.27957300         1086
    4.78    2.72    0.00    0.44   -0.42   -0.12  -0.35719955   0.65938800   0.41972500         1154
    7.08    2.18    0.71    0.00   -0.08    0.05  -0.59118966   0.68467600   0.46606900         1269
    2.09    1.37   -0.90    1.04    0.15   -0.27   0.00705351   0.66133100   0.37191600         1283
    6.17    2.67   -1.71    0.30    0.51    0.21   0.44405263   0.41369400   0.12840400         1365
    2.96    4.08   -0.15    0.80    0.02    1.45  -0.33147147   0.66339100   0.42026100         1669
    5.43    1.32   -1.53   -0.25    1.91    0.13   0.94548221   0.66625800   0.04421600         1722
    3.42    1.96    0.66    0.21    0.35    0.65   0.50047234   0.66360400   0.26110400         1727
    4.80    3.07   -1.65   -0.05   -0.09   -0.05  -0.75539373   0.64074200   0.44057800         1807
    0.89    2.86    1.45   -0.58    0.44    0.17   0.77063734   0.64438900   0.14456600         1841
    1.92    2.56   -1.16   -0.09    1.60    0.80   0.84375503   0.66151200   0.11129100         1927
    5.74    2.85    1.46   -0.29   -0.41   -0.53  -0.62141432   0.67363300   0.45892600         1935
    5.01    4.02   -0.20   -0.60    0.45   -0.16   0.45957910   0.37962700   0.10875200         1961
    0.82    2.70    1.20   -0.64   -0.28    0.15  -0.18729018   0.67556200   0.41266100         1966
    6.78    2.25   -0.11    0.15   -0.10   -0.06  -0.30812657   0.65536500   0.41061500         1973
    5.09    1.48   -1.72   -0.75    1.01    1.27   0.41587645   0.65192800   0.27837700         1979
    3.48    1.89    0.39    0.13    0.37    0.00   0.92700993   0.65402800   0.05587900         2050
    5.05    2.86   -0.55    0.34    0.18   -0.08   0.09225238   0.53198300   0.25847300         2061
    1.31    3.01    0.47    1.64    1.03   -0.39   0.70443035   0.39691800   0.07411100         2106
    1.63    2.33    0.52   -0.09    0.22   -0.15  -0.33747723   0.16665500   0.05061600         2149
    6.68    1.66   -1.36   -0.17    0.86    0.72   0.60774749   0.64892100   0.21576500         2228
    6.08    4.89    0.41    0.39   -0.84    0.54  -0.54669159   0.58229100   0.37150500         2386
    7.40    4.04   -1.13   -0.30    0.12   -0.23   0.32802566   0.19947600   0.04145200         2399
    4.27    3.53    0.42    0.95    1.58   -1.62   0.07051786   0.62435800   0.33201100         2472
    6.49    4.55   -0.41   -1.24    0.59    1.43  -0.03767184   0.65431500   0.37333600         2520
    6.86    1.58    0.68   -0.97    0.64    0.67   0.22723583   0.58542300   0.27490500         2568
    6.58    1.49   -0.36    0.56    0.78    0.18   0.77177531   0.43280700   0.07011000         2570
    1.43    3.87    1.10    0.75    0.12   -0.36   0.40268685   0.53041200   0.20299800         2610
    5.32    1.42    0.33   -0.74    0.03    0.05  -0.05223212   0.68494600   0.40078500         2616
    2.84    1.95   -1.00   -0.28    0.46   -0.13   0.58998083   0.40191400   0.09800700         2677
    3.49    1.55   -0.13    1.81    1.03    0.24   0.46640480   0.67839900   0.28130200         2846
    2.14    1.34    0.66   -0.95    0.35    1.02   0.33918540   0.66648300   0.30852100         2877
    3.44    4.60   -0.84   -0.11    0.24    0.00   0.35498635   0.25815700   0.06344800         3004
    2.21    1.83    0.22    1.25    0.66   -0.70   0.18916202   0.65752300   0.33573400         3079
    2.60    4.10    1.20    0.39   -0.27    0.17  -0.66437674   0.65604000   0.44689600         3114
    3.89    3.56   -0.40   -0.43    0.54    1.01   0.58875225   0.46294600   0.12566300         3223
    6.62    2.56   -0.56   -0.24    1.03    0.16   0.88235555   0.46606200   0.04516200         3258
    1.78    5.15    0.11    0.51   -0.56   -0.09  -0.27670867   0.36153900   0.17158400         3416
    5.36    3.69    0.69   -0.45    0.55    0.26  -0.01479864   0.29870400   0.11121700         3464
    5.28    2.16    0.01    0.03   -0.03   -0.03  -0.42361728   0.65257700   0.42100600         3490
    2.40    1.48   -0.06   -1.25    0.59   -0.23   0.53798330   0.66479400   0.24957500         3572
    6.51    2.56   -0.33   -0.42    0.30   -0.09   0.46096863   0.65991100   0.27083800         3668
    3.94    1.76    1.44   -1.39    1.63   -0.57   0.68365450   0.66225100   0.19256300         3688
    1.55    1.43   -0.19    1.65    1.81   -0.15  -0.25332316   0.34785800   0.16015000         3890
    1.33    2.50    0.11    0.57   -0.05    0.07  -0.44849457   0.68102600   0.44863000         4349
    6.90    3.85    0.01    0.06    0.24   -0.39   0.47056442   0.43764500   0.13653400         4433
    1.35    3.53   -0.43    1.28    0.50    0.20   0.15202586   0.66511700   0.34895500         4452
    1.93    3.02   -0.88    0.31    2.13   -0.36   0.63244385   0.23332500   0.03353100         4454
    4.09    3.41   -1.01   -2.14    1.70   -0.59   0.88678792   0.48906000   0.04781000         4588
    1.54    2.36    0.83    0.26    0.08   -0.21  -0.07724406   0.39781500   0.18145100         4641
    2.75    1.88    0.93   -0.30    0.28    0.07  -0.90796192   0.64289600   0.45383300         4719
    2.13    1.89    1.26   -0.34    0.65   -0.79   0.56446935   0.68977800   0.25538300         4834
    2.55    4.79    0.67   -0.80    0.27   -0.03  -0.62430486   0.65906400   0.44611600         5083
    4.51    3.37   -0.82    0.47   -1.07   -0.69  -0.67565359   0.61302000   0.40937200         5091
    2.34    1.92   -0.63   -0.06    1.42    0.91   0.80883877   0.67164800   0.13487000         5100
    3.56    2.98    1.56   -1.65    0.37   -2.63  -0.01086516   0.69812500   0.40492300         5120
    2.90    3.52    0.46   -0.35    1.28    0.58   0.89474176   0.62408600   0.07108900         5149
    2.86    5.24   -1.35    0.62   -0.39    0.22  -0.43818939   0.64051000   0.41197600         5182
